,shortcode,url,category
0,blobsleepy,https://tooting.ch/system/custom_emojis/images/000/097/041/original/9ef425d72dfbe516.png,Blob Emoji
1,blobfoxsolder,https://tooting.ch/system/custom_emojis/images/000/097/329/original/cfe0f7b65d313f12.png,Blobfox Emoji
2,blobfoxsolderfire,https://tooting.ch/system/custom_emojis/images/000/097/334/original/bcddd34e7483740a.png,Blobfox Emoji
3,jerrycan,https://tooting.ch/system/custom_emojis/images/000/097/591/original/035e03fba047edcc.png,
4,blobsafari,https://tooting.ch/system/custom_emojis/images/000/098/942/original/f396afdbfb8e474e.png,Blob Emoji
5,yaranaika,https://tooting.ch/system/custom_emojis/images/000/099/651/original/8ff7eda3fc7c8a91.png,Memes
6,blobstrawberrycat,https://tooting.ch/system/custom_emojis/images/000/116/835/original/c70a76601b7104dd.png,Blobcat Emoji
7,yaranaika2,https://tooting.ch/system/custom_emojis/images/000/099/652/original/69010d5d3f23fddf.png,Memes
8,blab,https://tooting.ch/system/custom_emojis/images/000/086/075/original/8712e2707b00049b.png,Blob Emoji
9,nyanpasu,https://tooting.ch/system/custom_emojis/images/000/099/888/original/cc33feeb9d6deb64.png,Anime
10,blobfoxsignnou,https://tooting.ch/system/custom_emojis/images/000/100/007/original/9225206538d3b370.png,Blobfox Emoji
11,mtg_0,https://tooting.ch/system/custom_emojis/images/000/100/399/original/57143a6480ada9ef.png,Magic: The Gathering
12,mtg_5,https://tooting.ch/system/custom_emojis/images/000/100/404/original/e75992edb0ae20ce.png,Magic: The Gathering
13,mtg_7,https://tooting.ch/system/custom_emojis/images/000/100/406/original/10f9c49175296f11.png,Magic: The Gathering
14,mtg_9,https://tooting.ch/system/custom_emojis/images/000/100/408/original/2f96781c865b62f8.png,Magic: The Gathering
15,mtg_11,https://tooting.ch/system/custom_emojis/images/000/100/410/original/c2e4a294b5443bcb.png,Magic: The Gathering
16,mtg_12,https://tooting.ch/system/custom_emojis/images/000/100/411/original/a0348fb93d02d8eb.png,Magic: The Gathering
17,mtg_13,https://tooting.ch/system/custom_emojis/images/000/100/412/original/0d74db2ebf015e80.png,Magic: The Gathering
18,mtg_20,https://tooting.ch/system/custom_emojis/images/000/100/420/original/4155591989d2ebe0.png,Magic: The Gathering
19,mtg_2red,https://tooting.ch/system/custom_emojis/images/000/100/442/original/d3bea20aac6fdaed.png,Magic: The Gathering
20,mtg_blackRed,https://tooting.ch/system/custom_emojis/images/000/100/455/original/bb4e5a6c122596e0.png,Magic: The Gathering
